CID,SMILES,ESOL_predicted,measured
4-hexylresorcinol,CCCCCCc1ccc(O)cc1O,-3.4930000000000003,-2.59
allicin,C=CCS[S+]([O-])CC=C,-2.045,-0.83
Coumaphos,CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1,-5.04,-5.382000000000001
"5,6-Dimethylchrysene",Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-6.265,-7.01
Betamethasone-17-valerate,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-5.062,-4.71
uric acid,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-0.541,-3.93
"2,3,4,6-Tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-4.203,-3.1
"1,3-Dichlorobenzene",Clc1cccc(Cl)c1,-3.5580000000000003,-3.04
DDT,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-6.638,-7.15
Isobutyl formate,CC(C)COC=O,-1.095,-1.01
thioanisole,CSc1ccccc1,-2.87,-2.39
RTI 13,CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21,-4.45,-4.207
Hexane ,CCCCCC,-2.615,-3.84
methyl nicotinate,COC(=O)c1cccnc1,-1.621,-0.46
Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.741,-3.59
"2,3,3',4,4',5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-7.425,-7.82
Vinclozolin,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.377,-4.925
Cyanazine,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-2.49,-3.15
Triphenylene,c1ccc2c(c1)c1ccccc1c1ccccc21,-5.568,-6.726
Dienestrol,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.775,-4.95
Di(2-ethylhexyl)-phthalate,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-7.117000000000001,-6.96
2-Ethyl pyridine,CCc1ccccn1,-2.051,0.51
Naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-3.548,-2.28
Biphenyl,c1ccc(-c2ccccc2)cc1,-4.079,-4.345
"2,2',4,4',6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-7.178999999999999,-8.71
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,-2.492,-3.364
"2,4-Dimethyl-2-pentanol ",CC(C)CC(C)(C)O,-1.6469999999999998,-0.92
Cycloheptyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCCCC2)C(=O)N1,-1.844,-3.168
Fructose,OCC1OC(O)(CO)C(O)C1O,0.471,0.64
"3,5-Dimethylphenol",Cc1cc(C)cc(O)c1,-2.652,-1.4
Barban,O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.16,-4.37
p-Chloroacetanilide,CC(=O)Nc1ccc(Cl)cc1,-2.642,-2.843
"2,2',3,4,5,5',6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-7.898,-8.94
"2,2-Dimethylbutane",CCC(C)(C)C,-2.584,-3.55
N-Methylaniline ,CNc1ccccc1,-2.097,-1.28
"1,4-Pentadiene ",C=CCC=C,-1.758,-2.09
Hydrocortisone 21-acetate,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,-3.692,-4.88
DNOC,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-2.818,-1.456
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,-3.75,-3.604
3-Chlorophenol,Oc1cccc(Cl)c1,-2.761,-0.7
m-Chlorobromobenzene,Clc1cccc(Br)c1,-3.928,-3.21
chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-1.7519999999999998,-3.05
5-Methyl-5-ethylbarbituric acid,CCC1(C)C(=O)NC(=O)NC1=O,-0.911,-1.228
2-Phenoxyethanol,OCCOc1ccccc1,-1.761,-0.7
Diphenylmethane,c1ccc(Cc2ccccc2)cc1,-4.09,-4.08
3-Octanol,CCCCCC(O)CC,-2.033,-1.98
Flumetralin,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.584,-6.78
Propazine,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-3.329,-4.43
2-Methylpentanol,CCCC(C)CO,-1.381,-1.11
2-Methyl-2-hexanol,CCCCC(C)(C)O,-1.663,-1.08
Ethylbenzene,CCc1ccccc1,-2.988,-2.77
5-(3-Methyl-2-butenyl)-5-ethylbarbital,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.126,-2.253
Heptachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-5.26,-6.317
butallylonal,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.766,-2.647
Fenpropathrin,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.15,-6.025
Methoprene,COC(C)(C)CCCC(C)C=CC=C(C)CC(=O)OC(C)C,-4.795,-5.19
Ethyl propionate,CCOC(=O)CC,-1.1909999999999998,-0.66
Prometryn,CSc1nc(NC(C)C)nc(NC(C)C)n1,-3.693,-4.1
Buturon,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.199,-3.9
"2,3-Dimethylnaphthalene",Cc1cc2ccccc2cc1C,-4.1160000000000005,-4.72
"2,4',5-PCB",Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-5.7620000000000005,-6.25
"2,3',4,4',5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.343,-7.39
2-cyanoguanidine,N#CN=C(N)N,0.361,-0.31
Chloropicrin,O=[N+]([O-])C(Cl)(Cl)Cl,-1.866,-2.0
"2,6-PCB",Clc1cccc(Cl)c1-c1ccccc1,-4.984,-5.21
p-Methoxybenzaldehyde,COc1ccc(C=O)cc1,-2.252,-1.49
4-Nitroacetanilide,CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.219,-2.692
Ethyl heptanoate,CCCCCCC(=O)OCC,-2.608,-2.74
p-Hydroxyacetanilide,CC(=O)Nc1ccc(O)cc1,-1.495,-1.03
indazole,c1ccc2[nH]ncc2c1,-2.34,-2.16
triamcinolone acetonide,CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-3.928,-4.31
guanine,Nc1nc(=O)c2[nH]cnc2[nH]1,-0.67,-3.583
Methyl acetate,COC(C)=O,-0.416,0.46
Stanolone,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,-3.882,-4.743
1-Hexene-3-ol,C=CC(O)CCC,-1.199,-0.59
norbormide,Oc1[nH]c(O)c2c1C1C=C(C(O)(c3ccccc3)c3ccccn3)C2C1=C(c1ccccc1)c1ccccn1,-4.238,-3.931
Dibutyl ether ,CCCCOCCCC,-2.135,-1.85
1-Dodecanol,CCCCCCCCCCCCO,-3.523,-4.8
RTI 6,CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21,-3.335,-3.36
2-Methyl-2-pentanol,CCCC(C)(C)O,-1.308,-0.49
Flucytosine,Nc1[nH]c(=O)ncc1F,-0.132,-0.972
stadacaine,CCCCOc1ccc(C(=O)OCC)c(N(CC)CC)c1,-5.127999999999999,-3.84
2-Methyl-2-heptanol,CCCCCC(C)(C)O,-2.017,-1.72
Hexamethylbenzene,Cc1c(C)c(C)c(C)c(C)c1C,-4.361000000000001,-5.23
Thymol,Cc1ccc(C(C)C)c(O)c1,-3.129,-2.22
Pteridine,c1cnc2ncncc2n1,-0.906,0.02
Parathion,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-3.949,-4.66
Methane,C,-0.636,-0.9
indoline,c1ccc2c(c1)CCN2,-2.195,-1.04
1-Nitronapthalene,O=[N+]([O-])c1cccc2ccccc12,-3.414,-3.54
3-Methyl-2-pentanone,CCC(C)C(C)=O,-1.266,-0.67
isoguanine,Nc1[nH]c(=O)nc2[nH]cnc12,-1.74,-3.401
bromadiolone,O=c1c(C(CC(O)c2ccc(-c3ccc(Br)cc3)cc2)c2ccccc2)c(O)oc2ccccc12,-7.877000000000001,-4.445
Nitromethane,C[N+](=O)[O-],-0.042,0.26
Triallate,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.578,-4.88
"1,5-Hexadiene ",C=CCCC=C,-2.112,-2.68
Indole,c1ccc2[nH]ccc2c1,-2.654,-1.52
Androstenedione,CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,-3.393,-3.69
1-Hexene,C=CCCCC,-2.364,-3.23
Xipamide,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.642,-3.79
Ethylcyclohexane,CCC1CCCCC1,-3.245,-4.25
2-Nonanone,CCCCCCCC(C)=O,-2.263,-2.58
Mebendazole,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,-4.118,-3.88
Chloropham,CC(C)OC(=O)Nc1cccc(Cl)c1,-3.544,-3.38
RTI 12,CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,-3.446,-4.114
Carbaryl,CNC(=O)Oc1cccc2ccccc12,-3.087,-3.224
Ethyne,C#C,-0.252,0.29
"3,5-Dimethylpyridine",Cc1cncc(C)c1,-2.0980000000000003,0.38
"1,4-Cyclohexadiene",C1=CCC=CC1,-1.842,-2.06
Mecarbam,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-3.738,-2.518
1-Phenylethanol,CC(O)c1ccccc1,-1.919,-0.92
"1,2-Dichloropropane",CC(Cl)CCl,-1.794,-1.6
2-Ethyl-2-hexanal,CCCC=C(C=O)CC,-2.081,-2.46
Disulfoton,CCOP(=S)(OCC)SCCSCC,-3.975,-4.23
methyltestosterone acetate,CC(=O)OC1(C)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-4.863,-5.284
"2,4,6-PCB",Clc1ccc(-c2c(Cl)cccc2Cl)cc1,-5.604,-6.14
difluron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-4.692,-6.02
Triclosan,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-5.645,-4.46
diisooctyl phthalate,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,-7.117000000000001,-6.6370000000000005
Corticosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.454,-3.24
"1,3,5-Trimethylbenzene ",Cc1cc(C)cc(C)c1,-3.375,-3.4
dioctyl phthalate,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,-7.148,-5.115
1-Pentadecanol,CCCCCCCCCCCCCCCO,-4.586,-6.35
"2,2',6,6'-PCB",Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-5.915,-7.39
"5,5-Dimethylbarbituric acid",CC1(C)C(=O)NC(=O)NC1=O,-0.556,-1.742
2-Iodopropane,CC(C)I,-2.486,-2.09
"1,2-Dinitrobenzene",O=[N+]([O-])c1ccccc1[N+](=O)[O-],-2.281,-3.1
3-Methyl-2-butanone,CC(=O)C(C)C,-0.912,-0.12
Hexadecane,CCCCCCCCCCCCCCCC,-6.159,-8.4
Tricyclazole,Cc1cccc2sc3nncn3c12,-2.8680000000000003,-2.07
2-Octanone,CCCCCCC(C)=O,-1.909,-2.05
Methyl nonanoate,CCCCCCCCC(=O)OC,-2.962,-3.38
"1,4-Difluorobenzene",Fc1ccc(F)cc1,-2.636,-1.97
Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-1.944,-2.676
Trifluralin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.205,-5.68
Ethanol,CCO,0.02,1.1
Cyclopentyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCC2)C(=O)N1,-0.966,-2.349
Carbetamide,CCNC(=O)C(C)OC(=O)Nc1ccccc1,-2.29,-1.83
phenothrin,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-6.763,-5.24
Cycluron,CN(C)C(=O)NC1CCCCCCC1,-2.629,-2.218
Mirex,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-6.155,-6.8
1-Bromooctane,CCCCCCCCBr,-3.721,-5.06
Benomyl,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,-2.902,-4.883
aminopyrine,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-2.129,-0.364
3-Pentanol,CCC(O)CC,-0.97,-0.24
p-Nitrotoluene,Cc1ccc([N+](=O)[O-])cc1,-2.64,-2.49
4-Methylpentanol,CC(C)CCCO,-1.381,-1.14
Norethisterone,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(O)C3CCC21C,-2.669,-4.57
bromopropylate,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-5.832999999999999,-4.93
Pyrazon,Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.603,-2.878
2-Methylbutan-2-ol,CCC(C)(C)O,-0.954,0.15
p-Cresol,Cc1ccc(O)cc1,-2.313,-0.73
Ethyl formate,CCOC=O,-0.402,0.15
"N,N-Dimethylaniline",CN(C)c1ccccc1,-2.542,-1.92
Decalin,C1CCC2CCCCC2C1,-3.715,-5.19
Butanethiol ,CCCCS,-1.676,-2.18
Benzo(e)pyrene,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-6.007000000000001,-7.8
Tetrachloroethylene,ClC(Cl)=C(Cl)Cl,-3.063,-2.54
3-Pentanone,CCC(=O)CC,-0.912,-0.28
Acrylonitrile,C=CC#N,-0.354,0.15
Flumethasone,CC1CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.539,-5.613
2-Hexanone,CCCCC(C)=O,-1.2,-0.8
Terbumeton,CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.505,-3.239
3-Methylheptane,CCCCC(C)CC,-3.3080000000000003,-5.16
"1,2-Dibromoethane",BrCCBr,-2.102,-1.68
Isoprocarb,CNC(=O)Oc1ccccc1C(C)C,-2.734,-2.863
Niridazole,O=C1NCCN1c1ncc([N+](=O)[O-])s1,-1.948,-3.22
Benzo(a)fluorene,c1ccc2c(c1)Cc1c-2ccc2ccccc12,-5.189,-6.68
2-Chloroanisole,COc1ccccc1Cl,-2.912,-2.46
Bromophos,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-5.604,-6.09
Quinonamid,O=C(C=C(Cl)Cl)Nc1c(Cl)c(O)c2ccccc2c1O,-3.988,-5.03
Methyl acrylate,C=CC(=O)OC,-0.878,-0.22
Chloroxuron,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-4.477,-4.89
Azobenzene,c1ccc(N=Nc2ccccc2)cc1,-4.034,-4.45
4-Isopropyltoluene,Cc1ccc(C(C)C)cc1,-3.617,-3.77
"2,6-Dichlorophenol",Oc1c(Cl)cccc1Cl,-3.012,-1.79
Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.31,0.79
d-inositol,OC1C(O)C(O)C(O)C(O)C1O,-0.887,0.35
Dyphylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.847,-0.17
Chloramphenicol,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.613,-2.111
3-Ethyl-3-pentanol,CCC(O)(CC)CC,-1.663,-0.85
Epitostanol,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-4.545,-5.41
"1,2-Dibromobenzene",Brc1ccccc1Br,-4.172,-3.5
"2,4,6-Trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,-3.648,-2.34
oryzalin,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-3.784,-5.16
RTI 20,O=C1c2ccccc2Cc2ccccc2N1CCF,-3.663,-4.799
"2,4-Dimethyl-3-pentanone",CC(C)C(=O)C(C)C,-1.7519999999999998,-1.3
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.465,-2.593
gentisin,COc1cc(O)c2c(c1)OC1CCC(=O)CC1C2=O,-1.2919999999999998,-2.943
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.4980000000000002,-0.8759999999999999
Spironolactone,CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-3.842,-4.173
"3,4-Dimethylphenol",Cc1ccc(O)cc1C,-2.6210000000000004,-1.38
Diphenyl ether ,c1ccc(Oc2ccccc2)cc1,-4.254,-3.96
"2,2',4,4',5,5'-PCB",Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-7.343,-8.56
nicotinamide,NC(=O)c1cccnc1,-0.964,0.61
Thiophenol ,Sc1ccccc1,-2.758,-2.12
XMC,CNC(=O)Oc1cc(C)cc(C)c1,-2.688,-2.5810000000000004
Chlordane,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-6.039,-6.86
Dimethyldisulfide,CSSC,-1.524,-1.44
Benzamide,NC(=O)c1ccccc1,-1.501,-0.96
o-Chlorobromobenzene,Clc1ccccc1Br,-3.84,-3.19
Monotropitoside,COC(=O)c1ccccc1OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,-1.493,-0.742
3-Heptanol ,CCCCC(O)CC,-1.6780000000000002,-1.47
RTI 15,CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,-3.891,-4.553999999999999
"3,5-Dichlorophenol",Oc1cc(Cl)cc(Cl)c1,-3.428,-1.34
1-Methylphenanthrene,Cc1cccc2c1ccc1ccccc12,-4.87,-5.85
2-Ethyl-1-hexanol,CCCCC(CC)CO,-2.089,-2.11
Diallate,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-3.827,-4.2860000000000005
Toluene ,Cc1ccccc1,-2.713,-2.21
Nitrapyrin,Clc1cccc(C(Cl)(Cl)Cl)n1,-3.833,-3.76
Cycloheptene,C1=CCCCCC1,-2.599,-3.18
Thiram,CN(C)C(=S)SSC(=S)N(C)C,-2.444,-3.9
Griseofulvin,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-3.3280000000000003,-3.2460000000000004
1-Decanol,CCCCCCCCCCO,-2.814,-3.63
"3,3-Dimethylpentane",CCC(C)(C)CC,-2.938,-4.23
vamidothion,CNC(=O)C(C)SCCSP(=O)(OC)OC,-1.446,1.144
"2,3,4,5-Tetrachlorophenol",Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-4.335,-3.15
Butyraldehyde,CCCC=O,-0.7490000000000001,-0.01
dexamethasone acetate,CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-3.933,-4.9
Butane,CCCC,-1.907,-2.57
Fluoromethalone,CC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-3.507,-4.099
Pentachloroethane,ClC(Cl)C(Cl)(Cl)Cl,-3.382,-2.6
Diethyl phthalate ,CCOC(=O)c1ccccc1C(=O)OCC,-3.016,-2.35
2-Methylpropan-1-ol,CC(C)CO,-0.672,0.1
Isobutylbenzene,CC(C)Cc1ccccc1,-3.57,-4.12
Diiodomethane,ICI,-2.958,-2.34
4-Heptanol,CCCC(O)CCC,-1.6780000000000002,-1.4
Pentyl acetate,CCCCCOC(C)=O,-1.833,-1.89
"2,3,5,6-Tetrachlorophenol",Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-4.203,-3.37
Propylbenzene ,CCCc1ccccc1,-3.281,-3.37
"1,2-Dichlorotetrafluoroethane",FC(F)(Cl)C(F)(F)Cl,-2.697,-2.74
tetramethylurea,CN(C)C(=O)N(C)C,-0.495,0.94
"1,2,4,5-Tetramethylbenzene",Cc1cc(C)c(C)cc1C,-3.664,-4.59
norethindrone acetate,C#CC1(OC(C)=O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,-4.2410000000000005,-4.8
Ditalimfos,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.992,-3.35
salicylanilide,O=C(Nc1ccccc1)c1ccccc1O,-3.782,-3.59
Sulfallate,C=C(Cl)CSC(=S)N(CC)CC,-3.254,-3.39
Chloroethane,CCCl,-1.165,-1.06
Mefluidide,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.165,-3.24
Piperine,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,-3.659,-3.46
thiofanox,CNC(=O)ON=C(CSC)C(C)(C)C,-2.7,-1.62
Cyclooctyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.2840000000000003,-2.982
butacarb,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.642,-4.24
Eriodictyol,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-3.152,-3.62
Benzophenone,O=C(c1ccccc1)c1ccccc1,-3.612,-3.12
Eicosane,CCCCCCCCCCCCCCCCCCCC,-7.576,-8.172
hydrazobenzene,c1ccc(NNc2ccccc2)cc1,-3.492,-2.92
2-Ethyl-1-butanol,CCC(CC)CO,-1.381,-1.17
4-hydroxypyridine,O=c1cc[nH]cc1,-1.655,1.02
"cis 1,2-Dichloroethylene",ClC=CCl,-1.561,-1.3
Methylcyclopentane,CC1CCCC1,-2.452,-3.3
4-Methyl-2-pentanol,CC(C)CC(C)O,-1.308,-0.8
RTI 11,Cc1ccc2c(c1)C(=O)N(C)c1cc(N)ccc1O2,-3.125,-3.928
"2,2-Dimethylpropanol",CC(C)(C)CO,-1.011,-0.4
Triadimefon,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-4.132,-3.61
Isocarboxazid,Cc1cc(C(=O)NNCc2ccccc2)no1,-2.251,-2.461
Propylene,C=CC,-1.235,-1.08
Dichlorophen,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-4.924,-3.953
Desmedipham,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,-4.182,-4.632
Anthraquinone,O=C1c2ccccc2C(=O)c2ccccc21,-3.34,-5.19
2-Octanol,CCCCCCC(C)O,-2.033,-2.09
Oxycarboxin,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.169,-2.281
Butylbenzene,CCCCc1ccccc1,-3.585,-4.06
parabanic acid,O=C1NC(=O)C(=O)N1,1.091,-0.4
Abate,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.678,-6.237
Chlorthalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-2.564,-3.451
Isobutyl acetate,CC(=O)OCC(C)C,-1.463,-1.21
"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,-2.922,-4.36
"2,3,3',4,4'6-PCB",Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-7.746,-7.66
Phthalonitrile,N#Cc1ccccc1C#N,-1.717,-2.38
m-Nitrotoluene,Cc1cccc([N+](=O)[O-])c1,-2.64,-2.44
halothane,FC(F)(F)C(Cl)Br,-2.608,-1.71
Oxamyl,CNC(=O)ON=C(SC)C(=O)N(C)C,-0.908,0.106
Thiometon,CCSCCSP(=S)(OC)OC,-3.323,-3.091
2-Methylbutane,CCC(C)C,-2.245,-3.18
Stirofos,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.32,-4.522
