CID,SMILES,calculated,measured
2-bromopropane,CC(C)Br,0.448,-0.48
1-bromo-4-methyl-benzene,Cc1ccc(Br)cc1,-0.894,-1.39
4-hydroxybenzonitrile,N#Cc1ccc(O)cc1,-8.39,-10.17
methylsulfonylmethane,CS(C)(=O)=O,-10.559,-10.08
3-ethylphenol,CCc1cccc(O)c1,-5.272,-6.25
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",C=C(C)C1CC=C(C)C(O)C1,-3.257,-4.44
"1,4-dibromobenzene",Brc1ccc(Br)cc1,-1.091,-2.3
dicamba,COc1c(Cl)ccc(Cl)c1C(=O)O,-8.658,-9.86
pent-2-ene,CC=CCC,2.374,1.31
ethane,CC,2.465,1.83
"1,2-dimethoxybenzene",COc1ccccc1OC,-4.055,-5.33
ethylsulfanylethane,CCSCC,0.299,-1.46
pyridine-3-carbonitrile,N#Cc1cccnc1,-5.582,-6.75
"3,4-dichlorophenol",Oc1ccc(Cl)c(Cl)c1,-5.139,-7.29
anisole,COc1ccccc1,-2.318,-2.45
"2,5-dimethylphenol",Cc1ccc(C)c(O)c1,-5.014,-5.91
"1,4-dichlorobenzene",Clc1ccc(Cl)cc1,-0.19,-1.01
chloro-fluoro-methane,FCCl,-0.171,-0.77
pent-1-ene,C=CCCC,2.532,1.68
"1,2,3,4-tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-0.304,-1.34
hept-1-yne,C#CCCCCC,0.639,0.6
decan-2-one,CCCCCCCCC(C)=O,-2.573,-2.34
chlorobenzene,Clc1ccccc1,-0.475,-1.12
[2-benzhydryloxyethyl]-dimethyl-amine,CN(C)CCOC(c1ccccc1)c1ccccc1,-7.873,-9.34
pentanal,CCCCC=O,-2.927,-3.03
diphenyl ether,c1ccc(Oc2ccccc2)cc1,-2.81,-2.87
cyclohexanone,O=C1CCCCC1,-4.18,-4.91
1-nitrobutane,CCCC[N+](=O)[O-],-1.449,-3.09
pyridine-4-carbaldehyde,O=Cc1ccncc1,-7.338,-7.0
1-chloro-2-(2-chloroethoxy)ethane,ClCCOCCCl,-2.248,-4.23
1-nitroethane,CC[N+](=O)[O-],-1.839,-3.71
3-chloropyridine,Clc1cccnc1,-2.767,-4.01
bromomethane,CBr,0.46,-0.82
methanol,CO,-3.491,-5.1
heptanal,CCCCCCC=O,-2.704,-2.67
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-1.226,-2.28
2-nitroaniline,Nc1ccccc1[N+](=O)[O-],-7.66,-7.37
1-methylpiperidine,CN1CCCCC1,-3.467,-3.88
octanal,CCCCCCCC=O,-2.57,-2.29
nitrobenzene,O=[N+]([O-])c1ccccc1,-3.46,-4.12
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",CC1CCC(C(C)C)C(=O)C1,-3.523,-2.53
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",OCC1OC(O)C(O)C(O)C1O,-18.095,-25.47
fluoromethane,CF,0.881,-0.22
methylsulfinylmethane,C[S+](C)[O-],-8.243,-9.28
dibenzo-p-dioxin,c1ccc2c(c1)Oc1ccccc1O2,-4.9,-3.15
2-methylaniline,Cc1ccccc1N,-5.325,-5.53
1-bromobutane,CCCCBr,0.705,-0.4
nonan-1-ol,CCCCCCCCCO,-2.564,-3.88
4-methylpyridine,Cc1ccncc1,-3.343,-4.93
"1,1,2,2-tetrachloroethylene",ClC(Cl)=C(Cl)Cl,1.328,0.1
2-bromo-2-methyl-propane,CC(C)(C)Br,0.438,0.84
"1,1-diphenylethene",C=C(c1ccccc1)c1ccccc1,-2.47,-2.78
1-ethyl-4-methyl-benzene,CCc1ccc(C)cc1,-0.575,-0.95
3-methylpyridine,Cc1cccnc1,-3.221,-4.77
"1,1,1,2-tetramethoxyethane",COCC(OC)(OC)OC,-5.436,-5.73
9H-fluorene,c1ccc2c(c1)Cc1ccccc1-2,-4.269,-3.35
acetamide,CC(N)=O,-8.82,-9.71
dimethyl sulfate,COS(=O)(=O)OC,-8.411,-5.1
"1,1,2,2-tetrachloroethane",ClC(Cl)C(Cl)Cl,-0.534,-2.37
methyl cyclohexanecarboxylate,COC(=O)C1CCCCC1,-4.376,-3.3
1-bromohexane,CCCCCCBr,1.076,0.18
1-bromoheptane,CCCCCCCBr,1.223,0.34
1-chlorodibenzo-p-dioxin,Clc1cccc2c1Oc1ccccc1O2,-4.473,-3.52
"3,3,3-trimethoxypropanenitrile",COC(CC#N)(OC)OC,-5.859,-6.4
2-chlorobutane,CCC(C)Cl,0.927,0.0
hexylbenzene,CCCCCCc1ccccc1,-0.1,-0.04
2-chlorosyringaldehyde,COc1cc(C=O)c(Cl)c(OC)c1O,-8.292,-7.78
m-bis(trifluoromethyl)benzene,FC(F)(F)c1cccc(C(F)(F)F)c1,-0.34,1.07
1-benzylimidazole,c1ccc(Cn2ccnc2)cc1,-7.997,-7.63
naphthalen-1-amine,Nc1cccc2ccccc12,-7.777,-7.28
diethyl propanedioate,CCOC(=O)CC(=O)OCC,-6.716,-6.0
1-cyclopropylethanone,CC(=O)C1CC1,-3.043,-4.61
pyrrole,c1cc[nH]c1,-4.014,-4.78
diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-6.613,-9.4
"1,4-dimethylcyclohexane",CC1CCC(C)CC1,1.918,2.11
cyclohexanol,OC1CCCCC1,-4.178,-5.46
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,-7.349,-7.43
4-fluorophenol,Oc1ccc(F)cc1,-4.955,-6.19
2-chloroaniline,Nc1ccccc1Cl,-4.847,-4.91
"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,-0.795,-0.86
1-ethyl-2-methylbenzene,CCc1ccccc1C,-0.761,-0.85
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C=C(C)C1CCC(C)C(=O)C1,-3.344,-3.75
biphenyl,c1ccc(-c2ccccc2)cc1,-3.143,-2.7
"2,3-dimethylphenol",Cc1cccc(O)c1C,-5.148,-6.16
methylparathion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,-10.466,-7.19
diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-9.211,-6.74
"1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-7.503,-5.66
methylsulfanylmethane,CSC,0.44,-1.61
ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-17.242,-10.78
cyclopentanol,OC1CCCC1,-4.29,-5.49
methyl pentanoate,CCCCC(=O)OC,-3.492,-2.56
2-methylpent-1-ene,C=C(C)CCC,2.486,1.47
flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-13.953,-8.42
nitralin,CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],-11.246,-7.98
chloroethylene,C=CCl,1.162,-0.59
"N,N-4-trimethylbenzamide",Cc1ccc(C(=O)N(C)C)cc1,-8.081,-9.76
heptan-4-one,CCCC(=O)CCC,-2.704,-2.92
methyl benzoate,COC(=O)c1ccccc1,-4.921,-3.92
4-methylbenzaldehyde,Cc1ccc(C=O)cc1,-5.014,-4.27
propyl butanoate,CCCOC(=O)CCC,-2.754,-2.28
piperazine,C1CNCCN1,-8.481,-7.4
dialifor,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-16.515,-5.74
2-ethoxyethanol,CCOCCO,-4.407,-6.69
3-methylpentane,CCC(C)CC,2.613,2.51
2-methylpyrazine,Cc1cnccn1,-6.161,-5.51
1-nitropropane,CCC[N+](=O)[O-],-1.632,-3.34
mesitylene,Cc1cc(C)cc(C)c1,-0.553,-0.9
5-fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,-16.371,-16.92
ethanol,CCO,-3.394,-5.0
"1,4-dimethylnaphthalene",Cc1ccc(C)c2ccccc12,-3.081,-2.82
"2,3,7,8-tetrachlorodibenzo-p-dioxin",Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-2.54,-3.37
dichlobenil,N#Cc1c(Cl)cccc1Cl,-3.32,-4.71
ethyl formate,CCOC=O,-3.867,-2.56
"1,2,4,5-tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,0.035,-1.34
diethoxymethoxybenzene,CCOC(OCC)Oc1ccccc1,-5.203,-5.23
3-nitrophenol,O=[N+]([O-])c1cccc(O)c1,-7.889,-9.62
octan-1-ol,CCCCCCCCO,-2.69,-4.09
but-1-ene,C=CCC,2.367,1.38
carbon tetrachloride,ClC(Cl)(Cl)Cl,1.185,0.08
2-phenylethanol,OCCc1ccccc1,-5.28,-6.79
fenuron,CN(C)C(=O)Nc1ccccc1,-11.81,-9.13
methyldisulfanylmethane,CSSC,-0.093,-1.83
captan,Oc1c2c(c(O)n1SC(Cl)(Cl)Cl)CC=CC2,-8.718,-9.01
"2,3-diacetoxypropyl acetate",CC(=O)OCC(COC(C)=O)OC(C)=O,-12.333,-8.84
methoxymethane,COC,-0.853,-1.91
hexane,CCCCCC,2.851,2.48
"1,2-dibromoethane",BrCCBr,-1.275,-2.33
"1,1,1,2,2-pentachloroethane",ClC(Cl)C(Cl)(Cl)Cl,0.059,-1.23
5-trifluoromethyluracil,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,-17.349,-15.46
"2,6-dimethylaniline",Cc1cccc(C)c1N,-5.57,-5.21
propyl acetate,CCCOC(C)=O,-3.486,-2.79
quinoline,c1ccc2ncccc2c1,-4.989,-5.72
ethanethiol,CCS,-0.395,-1.14
ethyldisulfanylethane,CCSSCC,-0.979,-1.64
thiophene,c1ccsc1,-0.359,-1.4
1-ethylnaphthalene,CCc1cccc2ccccc12,-2.961,-2.4
pentan-2-one,CCCC(C)=O,-3.166,-3.52
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-0.039,-4.61
profluralin,CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-1.956,-2.45
acetaldehyde,CC=O,-3.372,-3.5
3-nitroaniline,Nc1cccc([N+](=O)[O-])c1,-8.204,-8.84
hex-1-yne,C#CCCCC,0.553,0.29
2-methoxyaniline,COc1ccccc1N,-6.771,-6.12
phenol,Oc1ccccc1,-5.707,-6.6
propanenitrile,CCC#N,-2.491,-3.84
naphthalen-1-ol,Oc1cccc2ccccc12,-7.137,-7.67
butyl acetate,CCCCOC(C)=O,-3.406,-2.64
aldicarb,CNC(=O)ON=CC(C)(C)SC,-9.679,-9.84
o-cresol,Cc1ccccc1O,-5.076,-5.9
2-methylpropanal,CC(C)C=O,-2.968,-2.86
propionamide,CCC(N)=O,-8.31,-9.4
1-bromopropane,CCCBr,0.579,-0.56
2-chloropropane,CC(C)Cl,0.833,-0.25
"1,3-dichloropropane",ClCCCCl,-0.416,-1.89
4-nitrophenol,O=[N+]([O-])c1ccc(O)cc1,-8.472,-10.64
"1,2-dichloropropane",CC(Cl)CCl,-0.265,-1.27
4-chloroaniline,Nc1ccc(Cl)cc1,-5.281,-5.9
"1-amino-9,10-anthracenedione",Nc1cccc2c1C(=O)c1ccccc1C2=O,-12.214,-9.44
"2,3-dimethylpyridine",Cc1cccnc1C,-3.367,-4.82
pyridine-4-carbonitrile,N#Cc1ccncc1,-5.765,-6.02
diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSCC,-6.427,-4.37
1-cyclohexylethanone,CC(=O)C1CCCCC1,-4.003,-3.9
2-methylbenzaldehyde,Cc1ccccc1C=O,-4.554,-3.93
1-(4-pyridyl)ethanone,CC(=O)c1ccncc1,-7.566,-7.62
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-1.878,-3.71
acetone,CC(C)=O,-3.506,-3.8
2-methylprop-1-ene,C=C(C)C,2.327,1.16
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,-0.922,-3.61
1-nitropentane,CCCCC[N+](=O)[O-],-1.325,-2.82
(2E)-hex-2-enal,CCCC=CC=O,-3.123,-3.68
"N,N-dimethyl-4-nitro-benzamide",CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,-10.036,-11.95
tetrahydrofuran,C1CCOC1,-2.201,-3.47
octane,CCCCCCCC,3.088,2.88
trifluralin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-2.023,-3.25
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",C=CC(C)(CCC=C(C)C)OC(C)=O,-2.964,-2.49
"1,3-bis-(nitrooxy)butane",CC(CCO[N+](=O)[O-])O[N+](=O)[O-],-4.944,-4.29
2-isopropoxypropane,CC(C)OC(C)C,-0.178,-0.53
2-methylhexane,CCCCC(C)C,2.894,2.93
pentachloronitrobenzene,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-1.284,-5.22
"2-bromo-2-chloro-1,1,1-trifluoro-ethane",FC(F)(F)C(Cl)Br,0.206,-0.11
1-butoxybutane,CCCCOCCCC,0.139,-0.83
pentylcyclopentane,CCCCCC1CCCC1,2.381,2.55
"2,4-dimethylpentane",CC(C)CC(C)C,2.756,2.83
"2,5-dimethylpyridine",Cc1ccc(C)nc1,-3.165,-4.72
but-2-enal,CC=CC=O,-3.341,-4.22
3-methylhexane,CCCC(C)CC,2.81,2.71
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-0.477,-1.96
"1,2,2-trifluoroethoxybenzene",FC(F)C(F)Oc1ccccc1,-3.043,-1.29
"1,2-dimethoxyethane",COCCOC,-3.103,-4.84
sec-butylbenzene,CCC(C)c1ccccc1,-0.22,-0.45
3-phenylpropan-1-ol,OCCCc1ccccc1,-5.771,-6.92
"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-5.378,-6.23
methyl 4-methoxybenzoate,COC(=O)c1ccc(OC)cc1,-6.462,-5.33
"N-(3,4-dichlorophenyl)propanimidic acid",CCC(=O)Nc1ccc(Cl)c(Cl)c1,-9.409,-7.78
naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-12.199,-10.21
octafluorocyclobutane,FC1(F)C(F)(F)C(F)(F)C1(F)F,3.077,3.43
isopentyl acetate,CC(=O)OCCC(C)C,-3.067,-2.21
1-chlorohexane,CCCCCCCl,1.261,0.0
4-methylpentan-2-one,CC(=O)CC(C)C,-3.116,-3.05
hexanal,CCCCCC=O,-2.86,-2.81
3-chloroaniline,Nc1cccc(Cl)c1,-5.138,-5.82
morpholine,C1COCCN1,-6.116,-7.17
"1,1-diethoxyethane",CCOC(C)OCC,-1.795,-3.28
"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-2.303,-3.51
methanethiol,CS,-0.273,-1.2
endosulfan alpha,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-9.785,-4.23
1-(4-methoxyphenyl)ethanone,COc1ccc(C(C)=O)cc1,-6.575,-4.4
prop-2-en-1-ol,C=CCO,-3.286,-5.03
methylsulfanylethane,CCSC,0.386,-1.5
pentyl acetate,CCCCCOC(C)=O,-2.565,-2.51
"1,2,3,5-tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,0.136,-1.62
1-phenylethanone,CC(=O)c1ccccc1,-5.078,-4.58
chloroethane,CCCl,0.775,-0.63
propylcyclopentane,CCCC1CCCC1,2.102,2.13
"1,3,5-trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,0.326,-0.78
propyl paraben,CCCOC(=O)c1ccc(O)cc1,-8.945,-9.37
3-chlorophenol,Oc1cccc(Cl)c1,-5.018,-6.62
3-methylbutan-1-ol,CC(C)CCO,-3.237,-4.42
pentan-1-amine,CCCCCN,-2.835,-4.09
terbacil,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-13.769,-11.14
"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,2.97,2.93
2-butoxyethanol,CCCCOCCO,-3.85,-6.25
endrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-5.179,-4.82
benzamide,NC(=O)c1ccccc1,-10.412,-11.0
2-nitropropane,CC(C)[N+](=O)[O-],-1.741,-3.13
glycerol,OCC(O)CO,-10.14,-13.43
1-iodopropane,CCCI,-0.443,-0.53
2-methoxyethanamine,COCCN,-5.027,-6.55
"1,1,1,2-tetrachloroethane",ClCC(Cl)(Cl)Cl,-0.091,-1.43
methyl propanoate,CCC(=O)OC,-3.652,-2.93
cyclopentane,C1CCCC1,1.648,1.2
3-ethylpyridine,CCc1cccnc1,-2.965,-4.59
"3,5-dimethylpyridine",Cc1cncc(C)c1,-2.869,-4.84
2-methoxyethanol,COCCO,-4.686,-6.619999999999999
methyl formate,COC=O,-4.028,-2.78
naphthalen-2-amine,Nc1ccc2ccccc2c1,-8.003,-7.47
4-methyl-1H-imidazole,Cc1c[nH]cn1,-8.205,-10.27
1-methyl-3-nitro-benzene,Cc1cccc([N+](=O)[O-])c1,-3.278,-3.45
"1,4-dichlorobutane",ClCCCCCl,-0.404,-2.32
nitroxyacetone,CC(=O)CO[N+](=O)[O-],-5.362,-5.99
tert-butylbenzene,CC(C)(C)c1ccccc1,-0.803,-0.44
methyl hexanoate,CCCCCC(=O)OC,-3.299,-2.49
"1,1,1-trifluoropropan-2-ol",CC(O)C(F)(F)F,-3.518,-4.16
1-bromo-pentane,CCCCCBr,0.824,-0.1
oct-1-ene,C=CCCCCCC,2.895,1.92
6-isopropyl-3-methyl-1-cyclohex-2-enone,CC1=CC(=O)C(C(C)C)CC1,-3.825,-4.51
propan-2-ol,CC(C)O,-3.427,-4.74
hexan-1-amine,CCCCCCN,-2.772,-3.95
3-nitrooxypropyl nitrate,O=[N+]([O-])OCCCO[N+](=O)[O-],-5.322,-4.8
"2,4-dimethylphenol",Cc1ccc(O)c(C)c1,-4.98,-6.01
pentan-1-ol,CCCCCO,-3.054,-4.57
pentan-2-ol,CCCC(C)O,-2.945,-4.39
3-methylheptane,CCCCC(C)CC,3.03,2.97
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-10.857,-7.0
diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-11.194,-8.15
"3,4-dimethylphenol",Cc1ccc(O)cc1C,-5.471,-6.5
4-chloro-3-methyl-phenol,Cc1cc(O)ccc1Cl,-5.14,-6.79
hept-2-ene,CC=CCCCC,2.78,1.68
1-propoxypropane,CCCOCCC,-0.004,-1.16
"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",CC1CCC(C(C)C)C(O)C1,-3.35,-3.2
terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,-9.271,-6.68
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,2.542,2.89
nonan-5-one,CCCCC(=O)CCCC,-2.364,-2.64
pebulate,CCCCN(CC)C(=O)SCCC,-4.573,-3.64
hept-1-ene,C=CCCCCC,2.761,1.66
isopropyl formate,CC(C)OC=O,-3.591,-2.02
1-acetoxyethyl acetate,CC(=O)OC(C)OC(C)=O,-8.006,-4.97
5-chlorouracil,O=c1[nH]cc(Cl)c(=O)[nH]1,-16.612,-17.74
isopropenylbenzene,C=C(C)c1ccccc1,-0.651,-1.24
isopentane,CCC(C)C,2.59,2.38
butyl nitrate,CCCCO[N+](=O)[O-],-1.938,-2.09
bromobenzene,Brc1ccccc1,-0.947,-1.46
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,0.505,-0.19
4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,C=C(C)C1CC=C(C=O)CC1,-3.591,-4.09
1-methyl-2-nitro-benzene,Cc1ccccc1[N+](=O)[O-],-3.133,-3.58
1-iodoheptane,CCCCCCCI,0.228,0.27
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,-6.79,-4.52
1-chloro-pentane,CCCCCCl,1.084,-0.1
isobutyl acetate,CC(=O)OCC(C)C,-2.896,-2.36
"2,2-dimethylbutane",CCC(C)(C)C,2.495,2.51
4-nitroaniline,Nc1ccc([N+](=O)[O-])cc1,-9.416,-9.82
methyl 2-cyanoacetate,COC(=O)CC#N,-6.36,-6.72
4-methoxyaniline,COc1ccc(N)cc1,-7.016,-7.48
isobutylbenzene,CC(C)Cc1ccccc1,-0.257,0.16
"1,3,5-trichloro-2-phenyl-benzene",Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-1.151,-2.16
methanamine,CN,-3.583,-4.55
2-chlorophenol,Oc1ccccc1Cl,-3.317,-4.55
"2-amino-9,10-anthraquinone",Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-13.895,-11.53
hexan-2-one,CCCCC(C)=O,-3.006,-3.28
"1,2-dinitroxyethane",O=[N+]([O-])OCCO[N+](=O)[O-],-6.227,-5.73
2-fluorophenol,Oc1ccccc1F,-3.346,-5.29
pirimor,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-13.87,-9.41
styrene,C=Cc1ccccc1,-1.078,-1.24
triethylphosphate,CCOP(=O)(OCC)OCC,-10.251,-7.5
"2,2,2-trifluoroethanol",OCC(F)(F)F,-3.809,-4.31
1-butoxy-2-propanol,CCCCOCC(C)O,-3.891,-5.73
propan-1-ol,CCCO,-3.33,-4.85
o-xylene,Cc1ccccc1C,-0.851,-0.9
neopentane,CC(C)(C)C,2.506,2.51
pent-1-yne,C#CCCC,0.47,0.01
phthalimide,O=C1NC(=O)c2ccccc21,-11.825,-9.61
1-iodobutane,CCCCI,-0.223,-0.25
p-cresol,Cc1ccc(O)cc1,-5.579,-6.13
2-iodopropane,CC(C)I,-0.492,-0.46
2-methoxyphenol,COc1ccccc1O,-4.746,-5.94
cyclopentene,C1=CCCC1,1.23,0.56
propan-1-amine,CCCN,-3.053,-4.39
2-nitrophenol,O=[N+]([O-])c1ccccc1O,-5.667,-4.58
1-methylnaphthalene,Cc1cccc2ccccc12,-3.212,-2.44
hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.379,-2.33
oct-2-enal,CCCCCC=CC=O,-2.706,-3.43
oct-1-yne,C#CCCCCCC,0.832,0.71
diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-10.753,-6.48
methyl octanoate,CCCCCCCC(=O)OC,-3.035,-2.04
pyrrolidine,C1CCNC1,-4.278,-5.48
4-hydroxybenzaldehyde,O=Cc1ccc(O)cc1,-10.05,-8.83
1-chloroheptane,CCCCCCCCl,1.467,0.29
"1,4-dioxane",C1COCCO1,-4.269,-5.06
